Sr. no.,question__description,answer,gpt-5.2,,claude-sonnet-4.5,,gemini-2.5-flash,,deepseek-v3.2,,qwen3-coder,,gpt-oss-120b,
27,"Write a Python script to implement a simple contact book.
<br>
The contact book should allow users to add contacts, search for contacts by name, and list all contacts.
<br>
Use a class to manage contacts and maintain the contact list.

For example;
<pre>
<b>Input:</b>
Add contact ""Alice"", ""123-456-7890""
Search contact ""Alice""
<b>Output</b>
Alice: 123-456-7890
</pre>","class ContactBook: 
  def __init__(self): 
    self.contacts = {} 
  def add_contact(self, name, phone): 
    self.contacts[name] = phone 
  def search_contact(self, name): 
    return self.contacts.get(name, ""Contact not found"") 
  def list_contacts(self): 
    for name, phone in self.contacts.items(): 
      print(f""{name}: {phone}"") 
      contact_book = ContactBook() 
      while True: 
        action = input() 
        if action.startswith(""Add contact""): 
          details = action.split('""') 
          name = details[1] 
          phone = details[3] 
          contact_book.add_contact(name, phone) 
        elif action.startswith(""Search contact""): 
          name = action.split('""')[1] 
          print(contact_book.search_contact(name)) 
        elif action == ""List contacts"": 
          contact_book.list_contacts() 
        else: print(""Invalid action"")
",F,F,J,F,F,J,D,C,F,J,F,F
28,"1. Create a <code>LinearEquation</code> class in two variables which takes three
components and supports the following operations:
<br><br>
 - Instantiate a linear equation with components as positional arguments <code>LinearEquation(1,
   1, 0)</code> or keyword args <code>LinearEquation(a=1, b=1, c=0)</code>.
<br><br>
 - Instantiate a linear equation with default components = 0, i.e. one should be able
   to instantiate the linear equation as <code> eqn = LinearEquation()</code>
<br><br>
 - The constants of the Linear Equation should be accessible as <code>eqn.a, eqn.b, eqn.c</code> and must be stored as floating point numbers.
<br><br>
 - The class should support the addition of two linear equations with the + symbol to
   produce a new linear equation as the sum.
<br><br>
 - Printing the linear equation, <code>eqn = LinearEquation(2, -3, 5)</code> <br> should produce
   exactly the text <code>""2.0x - 3.0y = 5.0""</code>, i.e.
   <code>str(a)</code> and <code>repr(a)</code> should produce this.
   Note spaces in the text are required.
<br><br>
 - The following methods:
<br><br>
    - <code>eq1.isparallel(eq2)</code> should return True if lines are parallel else False.
<br><br>
    - <code>eq1.intersects(eq2)</code> should return True if lines intersect else False.
<br><br>
    - <code>eq1.overlaps(eq2)</code> should return True if lines overlaps else False.
<br><br>
Note:
<br>
Linear equation in two variables x and y, general form is ax + by = c
where a, b c are real numbers.
Keep a = 1, b = 1 and c = 0 as the default values.
<br>
A linear equation represents a line.
<br>
If a<sub>1</sub>x + b<sub>1</sub>y = c<sub>1</sub> and a<sub>2</sub>x + b<sub>2</sub>y = c<sub>2</sub>, then
<br>
Are parallel if a<sub>1</sub>/a<sub>2</sub> = b<sub>1</sub>/b<sub>2</sub>  &ne; c<sub>1</sub>/c<sub>2</sub>
<br>
They intersect if a<sub>1</sub>/a<sub>2</sub>  &ne; b<sub>1</sub>/b<sub>2</sub>
<br>
they overlap if a<sub>1</sub>/a<sub>2</sub> = b<sub>1</sub>/b<sub>2</sub> = c<sub>1</sub>/c<sub>2</sub>","class LinearEquation:

    def __init__(self, a=1, b=1, c=0):
        self.a = a
        self.b = b
        self.c = c

    def __repr__(self):
        print("""" if self.a >0 else ""-"" + ""%.1fx""%self.a + ""+"" if self.b >0 else ""-"" + ""%.1fy = %.1fz""%(self.b, self.c))
        return(""{}x + {}y + {}z"".format(self.a, self.b, self.c))


    def __str__(self):
        print(""%.1fx + %.1fy + %.1fz""%(self.a, self.b, self.c))
        return(""{}x + {}y + {}z"".format(self.a, self.b, self.c))

    def __add__(self, eq2):
        eqn = LinearEquation()
        eqn.a = self.a + eq2.a
        eqn.b = self.b + eq2.b
        eqn.c = self.c + eq2.c
        return eqn
    
    def isparallel(self, e2):
        a = (self.a / e2.a) == (self.b / e2.b)
        b = (self.b / e2.b) != (self.c / e2.c)
        if  a and b:
            return True 
        else:
            return False 
    
    def intersects(self, e2):
        a = (self.a / e2.a) == (self.b / e2.b)
        if a:
            return False 
        else:
            return True

    def overlap(self, e2):
        a = (self.a / e2.a) == (self.b / e2.b)
        b = (self.b / e2.b) == (self.c / e2.c)
        if a and b:
            return True
        else:
            return False ",I,I,C,B,D,J,J,J,B,D,B,B
29,"Write a <b>Triangle</b> class which takes 3 points as parameters . Define class methods <b>perimeter</b>  and <b>area</b> which returns perimeter and area of the triangle . <b>Triangle</b> class should inherit <b>Point</b> class which has instance attributes <b>x</b> and <b>y</b> and has <b>distance</b> method which gives distance between two points.
<br>
<br>
Hint:<br>
Perimeter of triangle : <br>
$$a+b+c \ ( a,b,c \ are\ sides\ of\ triangle)$$<br>
Area of a triangle(Heron's Formula):<br> 
$$s = (a+b+c)/2$$
$$Area = \sqrt{s*(s-a)*(s-b)*(s-c))}$$
Example:<br>
p1 = Point(0,0)<br>
p2 = Point(3,3)<br>
p3 = Point(3,0)<br>
t = Triangle(p1, p2, p3)<br>
t.perimeter()<br>
Answer: 10.24 <br>
t.area()<br>
Answer: 4.5","class Point:
    def __init__(self,x,y):
        self.x = x
        self.y = y
    def distance(self,other):
        return sqrt((self.x-other.x)**2+(self.y-other.y)**2)
class Triangle(Point):
          def __init__(self,p1,p2,p3):
              
        self.p1 = Point.__init__(p1.x,p1.y)
        self.p2 = Point.__init__(p2.x,p2.y)
        self.p3 = Point.__init__(p3.x,p3.y)
          def perimeter(self):
        a = distance(self.p1,self.p2)
        b =        distance(self.p2,self.p3)
        c =        distance(self.p3,self.p1)
        s= a+b+c
        print(s)
    def area(self):
        a = distance(self.p1,self.p2)
        b =        distance(self.p2,self.p3)
        c =        distance(self.p3,self.p1)
        s= (a+b+c)/2
        are= (s*(s-a)*(s-b)*(s-c))**0.5
        return are  
      
              
p1 = Point(0,0)
p2 = Point(3,3)
p3 = Point(3,0)
t = Triangle(p1, p2, p3)
t.perimeter()
t.area()      ",I,I,C,C,I,I,I,I,C,C,I,I
30,"Write a Python script to create a simple todo list application.
<br>
The application should allow users to add tasks, mark tasks as complete, and list all tasks.
<br>
Use a class to manage tasks and maintain the task list.

For example;
<pre>
<b>Input:</b>
Add task ""Buy groceries""
Mark task 1 as complete
List tasks
<b>Output</b>
1. Buy groceries - Complete
</pre>","class Task:
    def __init__(self, description):
        self.description = description
        self.completed = False

    def mark_complete(self):
        self.completed = True

    def __str__(self):
        status = ""Complete"" if self.completed else ""Incomplete""
        return f""{self.description} - {status}""

class TodoList:
    def __init__(self):
        self.tasks = []

    def add_task(self, task):
        self.tasks.append(task)

    def list_tasks(self):
        for idx, task in enumerate(self.tasks, 1):
            print(f""{idx}. {task}"")

    def mark_task_complete(self, index):
        if 0 < index <= len(self.tasks):
            self.tasks[index - 1].mark_complete()
        else:
            print(""Task does not exist"")

todo_list = TodoList()

while True:
    action = input()
    if action.startswith(""Add task""):
        description = action.split('""')[1]
        todo_list.add_task(Task(description))
    elif action.startswith(""Mark task""):
        index = int(action.split()[2])
        todo_list.mark_task_complete(index)
    elif action == ""List tasks"":
        todo_list.list_tasks()
    else:
        print(""Invalid action"")
",G,G,F,G,J,J,J,D,J,J,N,N
31,"Write a function called <code>calculate_speed(d, t)</code> that accepts two numeric values as the arguments.
<br />
The first argument is the distance and the second is the time taken.
<br><br>
The function should return the speed.
Note, return value should be rounded up to only two places after the decimal point.
<br><br>
Example
<b></b>
<pre>
Input to the function
<code>calculate_speed(45.5, 1.1)</code>
Return value by the function
41.36
</pre>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","def cal_speed(dist , time):
  print("" Distance(km) :"", dist);
  print(""Time(hr):"", time);
  return dist / time;
def cal_dis(speed,time):
  print(""Time(hr):"",time);
  print(""Speed(km/hr):"",speed);
  return speed *  time;
def cal_speed(dist , speed):
  print("" Distance(km) :"", dist);
  print(""Speed(km/hr):"", speed);
  return speed * dist;
print(""The calculated Speed(km/hr) is:"",cal_speed(45.5, 1.1));

",D,D,D,D,I,I,J,J,J,J,I,I
32,"<p>Write a Python script that validates email addresses. <br />The script should check if the email address contains an ""@"" symbol and a ""."" symbol, and ensure there is text before and after these symbols. For example;</p>
<pre><strong>Input:</strong>
test@example.com
<strong>Output:</strong>
Valid email address<br /><br /><br /><strong>Input:</strong>
test-example.com
<strong>Output:</strong>
Invalid email address
</pre>","def check(email):
  i = 0
  while i < len(email):
    if email[i] == '@':
      if i > 0 and i < len(email)-3:
        j = i+2
        while j < len(email):
          if email[j] == '.':
            if j < len(email) -2:
              return True
            j = j  +1
    i = i + 1
  return False
                      
                  
  
email = input()
if not check(email):
    print(""Invalid email address"")
else:
    print(""Valid email address"")
",G,G,G,F,E,J,D,J,E,D,G,G
33,"Write a function <code>primeorsquare</code> which takes a positive integer as an argument.
<br>
If the integer is a perfect square then it returns the squareroot of the integer.
<br>
If the integer is a prime number then it returns the number itself.
<br>
If neither then it returns None
<br>
Example:
<br>
<code>
primeorsquare(144) returns 12
</code>
<br>
<code>
primeorsquare(14) returns None
</code>
<br>
<code>
primeorsquare(31) returns 31 
</code>
<br><br>
Note: 
You <b>have to </b>return the values.
<br>
You <b>DO NOT</b> have to print the values.
<br>","def checkprime(n):
  i=2
  flag=0
  for i in range(2,n):
    if (n%i) == 0:
      flag=1
      break
  if flag==1:
    return 0
  else:
    return 1

def checkperfectsquare(n):
  i=1
  while((i*i)<=n):
    if((n%i==0) and (n/i==i)):
      return i
    i=i+1
  return 0

def primeorsquare(n):
  if(checkprime(n)==1):
    return n
  elif (checkperfectsquare(n)!=0):
    return sqrt(n)
  else:
    return None 
",I,I,D,F,D,I,D,D,D,D,I,I
34,"write a function ""word_freq"" which will take a string and then perform following operation on string :-
<li> Remove all the non alphabetic characters after lowercasing the string.
<li> Count the no of occurrences of a word.
<li> Sort the count of occurrences from highest to lowest.
<li> If the word has same no of occurrences then sort the  list by alphabetical order of the word.
<br><br>
Function should return list of tuples where first element of tuple is the word and second element is no of occurrences of the word. 
<br>
<br>
For Example:
<pre>
>>> word_freq(""cat, bird, CAT!"")
>>>  [(""cat"", 2), (""bird"", 1)]
</pre>
You can use the functions from previous questions, just put them at the top of the code and call them as you would in any Python module.","def compar(x,y):
  if x[1] > y[1]:
    return 1
  if x[1] < y[1]:
    return -1
  if x[1] == y[1] and x[0] > y[0]:
    return 1
  if x[1] == y[1] and x[0] < y[0]:
    return -1
  if x[1] == y[1] and x[0] == y[0]:
    return 0
  
def sort_list(data_list):
  data_list.sort(cmp=compar)
  
  
def word_freq(s):
  word_dict = {};
  for word in s:
    if word in word_dict:
      word_dict[word] = word_dict[word] + 1
    else:
      word_dict[word] = 1
  list1 = []
  for key in word_dict:
    list1.append((key, word_dict[key]))
  sort_list(list1)
  return list1",J,J,J,J,J,J,J,J,J,J,A,I
35,"Write a Python Script that takes a string from the user (with empty prompt).
<br>
Convert this string into a list of characters.
<br>
Sort this list in ascending order.
<br>
Now eliminate any repeated values in this list.
<br>
Print the list.
<br>
<br>
Example
<pre>
Input
hello

Output
['e', 'h', 'l', 'o']","def Convert(string): 
    li = list(string.split("" "")) 
    return li 
  
# Driver code     
str1 = ""Geeks for Geeks""
print(Convert(str1)) 
li.sort( )
def Remove(duplicate): 
    final_list = [] 
    for num in duplicate: 
        if num not in final_list: 
            final_list.append(num) 
    return final_list 
      
# Driver Code 
duplicate = [2, 4, 10, 20, 5, 2, 20, 4] 
print(Remove(duplicate)) ",J,J,J,J,J,J,C,J,J,J,C,C
36,"Write a function called <code>count_unique(text)</code> to find the
number of unique words in a given string. Ignore case and assume no
punctuation is in the words.  For example:
<br/>
<br/>
<pre>
>>> count_unique('a banana He hE he')
3
>>> count_unique('ha ha ha')
1
</pre>","def count_unique(str, word):
     
    # split the string by spaces in a
    a = str.split("" "")
 
    # search for pattern in a
    count = 0
    for i in range(0, len(a)):
         
        # if match found increase count 
        if (word == a[i]):
           count = count + 1
            
    return count       
 
# Driver code
str =""GeeksforGeeks A computer science portal for geeks  ""
word =""portal""
print(countOccurences(str, word))",J,J,J,J,I,I,J,J,J,J,I,I
37,"Write a python script that will;
<li> Accept an integer <b>n<b>
<li> Create a list containing integers from <b>1 to n</b>

Output must print each value of the list in a separate line

For example;
<pre>
<b>Input:</b>
4
<b>Output:</b>
1
2
3
4
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WtrsKCQHmKk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def create_and_print_list(n):
    """"""
    Creates a list of integers from 1 to n and prints each value on a new line.

    Args:
        n (int): The upper limit for the integers in the list.
    """"""
    if n < 1:
        print(""Input must be a positive integer."")
        return

    # Create a list containing integers from 1 to n
    my_list = list(range(1, n + 1))

    # Print each value of the list in a separate line
    for number in my_list:
        print(number)

# Accept an integer n from the user
try:
    user_input = int(input(""Enter an integer (n): ""))
    create_and_print_list(user_input)
except ValueError:
    print(""Invalid input. Please enter an integer."")",B,B,B,B,N,N,N,N,N,N,B,B
38,"Write a function <code>fibodiv(n)</code> that accepts an integer <b>n</b> as argument.
<br><br>
The function should return boolean <code>True</code> if the <b>n<sup>th</sup></b> value of the fibonacci sequence is divisible by 4 otherwise return boolean value <code>False</code>.
<br><br>
<i>A fibonacci sequence, (always starting from 1) is 1, 1, 2, 3, 5, 8 ...
<br><br>
<b>For Example</b><br>
</i>
<pre>
fibodiv(6) should return True {since the 6th term of the fibonacci sequence is 8}
</pre>","def fib(n): 

    F = [[1, 1], 

         [1, 0]] 

    if (n == 0): 

        return 0

    power(F, n - 1) 

      

    return F[0][0] 

  

def multiply(F, M): 

  

    x = (F[0][0] * M[0][0] + 

         F[0][1] * M[1][0]) 

    y = (F[0][0] * M[0][1] +

         F[0][1] * M[1][1]) 

    z = (F[1][0] * M[0][0] + 

         F[1][1] * M[1][0]) 

    w = (F[1][0] * M[0][1] + 

         F[1][1] * M[1][1]) 

      

    F[0][0] = x 

    F[0][1] = y 

    F[1][0] = z 

    F[1][1] = w 

  

def power(F, n): 

  

    M = [[1, 1], 

         [1, 0]] 

  

    # n - 1 times multiply the 

    # matrix to {{1,0},{0,1}} 

    for i in range(2, n + 1): 

        multiply(F, M) 

  
# Driver Code 

if __name__ == ""__main__"": 

    n = 9

    print(fib(n)) 

  
# This code is contributed  
# by ChitraNayal ",J,J,J,J,J,J,J,J,J,J,I,I
39,"Define a function called <code>fib</code> taking one argument
n
<br/>Where, n>0 is an integer but defaults to 8
<br/> Return the first n terms of the Fibonacci sequence
<br/>
For example:
<pre>
In []: fib(4)
Out[]: [0, 1, 1, 2]
In []: fib()
Out[]: [0, 1, 1, 2, 3, 5, 8, 13]
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Y6pIlfhquIs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def fib(n=8):
    """"""
    Returns the first n terms of the Fibonacci sequence.

    Args:
        n: An integer (n > 0), defaults to 8.

    Returns:
        A list of the first n Fibonacci numbers.
    """"""
    if not isinstance(n, int) or n <= 0:
        return ""Input must be a positive integer.""

    fib_list = []
    a, b = 0, 1

    for _ in range(n):
        fib_list.append(a)
        a, b = b, a + b

    return fib_list",N,N,N,N,N,N,J,I,N,N,N,N
40,"Write a python function called <code>find_functions(path)</code> that takes a
single directory path as an argument and lists all the functions defined in
all <code>*.py</code> files in this and its subdirectories. 
<br/>
Output should be a
list of tuples with each tuple in the format: 
<br/>
<code>(directory/file.py, line-number, function-declaration-string)</code> 
<br/>
sorted as per the line number for each file (line numbers start at 1). 
<br/>
<br/>
The functions may be nested functions (i.e. a function defined within another function) or a method. 
You may ignore lambda functions.
<br/>
<br/>

For example if you have a single directory called <code>""test""</code> with a
file called <code>hello.py</code> and which defines a function
<code>hello</code> the output should be:

<pre>
>>> find_functions('test')
[('test/hello.py', 1, 'def hello():')]
</pre>

Leading and trailing spaces for the last item of the tuple should be removed.
<b>Hint:</b> there is a string method that does exactly this.
<br/>
<br/>
The function should return an empty list for an empty directory.","def find_functions(path):
	import os
	final = []
	for filename in os.listdir(path):
		a = filename.split('.')
		if len(a) == 2: 
			if a[1] == 'py':
				lineNumber = 0
				functionName = ''
				g = open(""{}/{}"".format(path,filename))
				f = g.readlines()
				count = 0
				for i in f:
					if 'def' in i:
						if 'class' not in i:
							lineNumber = count
							k = i.split(':')
							functionName = k[0].split('def')
							functionName = functionName[1].split('(')
							supposedAns = 'def ' + functionName[0] + '():'
							functionInfo = ('{}/{}'.format(path,filename), lineNumber, supposedAns)
							final.append(functionInfo)
					count = count + 1
	final = sorted(final, key = lambda line:line[1])
	return(final)",J,J,J,D,J,G,J,J,D,D,D,J
41,"Write a function called <code>firstuppercase(s)</code> that accepts a string as an argument.
<br><br>
The function should return a string with all characters in lower case except the first letter. The first letter of the string should be in upper case.
<br><br>
Example
<b></b>
<pre>
Input to the function
<code>firstuppercase('aLL Good')</code>
Return value by the function
'All good'
</pre>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","def firstuppercase(s):
    result = """"
    # Split the string and get all words in a list
    list_of_words = s.split()
    # Iterate over all elements in list
    for elem in list_of_words:
        # capitalize first letter of each word and add to a string
        if len(result) > 0:
            result = result + "" "" + elem.strip().capitalize()
        else:
            result = elem.capitalize()
    # If result is still empty then return original string else returned capitalized.
    if not result:
        return s
    else:
        return result
sample_text =(input()
result = firstuppercase(sample_text)
print(result)
",J,J,J,J,J,J,J,J,F,J,J,D
42,"<p>Write a function <tt>get_lines</tt> that accepts the following arguments:</p>
<ul>
<li><tt>data</tt>: A string containing multiple lines</li>
<li><tt>a</tt>: an integer</li>
<li><tt>d</tt>: an integer</li>
</ul>

<p>This function should return a string that contains only line numbers of the form \( a + k d \), where \( k = 0, 1, 2, \ldots \). Notice that the first line is counted as \( 0 \), the second as \( 1 \) and so on.</p>

<p>Example:<tt>data</tt> has the following:</p>
<p>
<pre>
a                                                                                                                                                                                                                        
bb                                                                                                                                                                                                                                 
ccc                                                                                                                                                                                                                                
1                                                                                                                                                                                                                                  
2                                                                                                                                                                                                                                  
34                                                                                                                                                                                                                                 
567                                                                                                                                                                                                                                
8910                                                                                                                                                                                                                               
acde</pre>
</p>

<p>Then <tt>get_lines(data, 2, 2)</tt> returns:</p>
<p>
<pre>
ccc
2
567
acde</pre>
</p>","def get_lines(data, a, d):
    
    y=""""
    z ="",""
    #print (data)
    m = []
    l = data.count('\n')
    x = data.split('\n')
    
    #print ('\""""""')
    for i in range(l+1) :
        for j in range(l+1):
            if (a+j*d) == i:
                #y = print(x[i])
                m.append(x[i])
                
                #z = str(y)
    #print (m)
    y = z.join(m)
    #print (y)
    y = y.strip(',')
    y = y.replace(',', '\n')
    y ='     \""""""'+y+'\"""""")' 
    x = print (y)  
    return x",I,I,B,I,B,B,J,J,D,J,I,I
43,"Define a function called <code>greet</code>
<br/>The function should take one positional argument,
<b>name</b>.
<br/>The function should take one optional argument,
<b>message.</b>
<br/>
If message is not given, it should default to
'Hello'.
<br/>
It should return the string with the greeting
<br/>
For example:
<pre>
In []: greet('Sam')
Out[]: 'Hello Sam'
In []: greet('Sam', 'Hi')
Out[]: 'Hi Sam'
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZrCS1_D9_1A"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","def greet(name, message='Hello'):
  """"""
  Greets a person with an optional message.

  Args:
    name: The name of the person to greet.
    message: An optional greeting message (defaults to 'Hello').

  Returns:
    A string containing the greeting.
  """"""
  return f""{message} {name}""

# Example usage (not required by the problem, but for demonstration):
print(greet('Sam'))  # Output: Hello Sam
print(greet('Sam', 'Hi'))  # Output: Hi Sam",B,N,N,N,N,N,N,N,N,N,N,N
44,"<p>Write a function <code>headsandlegs(h, l)</code> that accepts two positive integers as parameters.</p>

<p>The first integer is the number of heads and the second integer is the number of legs of all the creatures in a farm which consists of only chickens and dogs.</p>

<p>Your program should calculate and provide the number of chickens and number of dogs in the farm.</p>

<p>The function must return a tuple whose first element is the number of chickens and seconds element is the number of dogs,</p>

<p>If it is impossible to determine the correct number of chickens and dogs with the given information then your program should return None.<p>

<p>
<b>Example:</b>
<pre>
Input:

headsandlegs(5, 12)

Output:

(4, 1)
</pre>
</p>
<p>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>
</p>","def headsandlegs(number_legs, number_heads):

    for number_chickens in range(0, number_heads + 1):
        number_dogs = number_heads - number_chickens 
        total_legs = 4 * number_dogs + 2* number_chickens 
        if total_legs == number_legs: 
           return [number_dogs, number_chickens] 
    return[None, None] 

def animals():
    heads = int(input('Enter number of heads:')) 
    legs = int(input('Enter number of legs:'))
    dogs, chickens = solve(legs, heads)
    if dogs == None:
       print('there is no solution')
    else:
        print(f'number of dogs: {dogs}')
        print(f'number of chickes: {chickens}')
animals()
",I,I,I,I,I,I,I,I,I,J,I,I
45,"Write Python function called <code>highlow(lst)</code> that accepts a list containing only integers as an argument. The function must return boolean True if each element in its input list is alternatively (and strictly) more than and (strictly) less than the previous integer element otherwise it should return boolean False.
<br><br>
The list that is provided as argument will always contain only integers. The list will always have atleast 2 elements.
<br><br>
<b>Example 1</b>
<br><br>
<pre>
Input:

[1, 2, 3, 4, 5, 5, 5]

Output:

False
  
</pre>  
<b>Example 2</b>
<br><br>
<pre>
Input:

[1, 5, 3, 7, 1, 4, 2]

Output:

True

# Since 5 > 1, 3 < 5, 7 >3, 1 < 7, 4 > 1, 2 < 4 
</pre>
<br>
<b>Example 3</b>
<br><br>
<pre>
Input:

[8, 7, 9, 1, 4, 3, 5]

Output:

True

# Since 7 < 8, 9 > 7, 1 < 9, 4 > 1, 3 < 4,  5 > 3
</pre>
<br>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","def highlow(arr): 
  
    result = True
    n=len(arr)
   
      
    if (arr[1] > arr[0] and arr[1] > arr[2]): 
        for i in range(1, n - 1, 2): 
  
            if (arr[i] > arr[i - 1] and 
                arr[i] > arr[i + 1]): 
                result = True
          
            else : 
                result = False
                break
  
         
        if (result == True and n % 2 == 0): 
            if (arr[n - 1] <= arr[n - 2]) : 
                result = False
              
    elif (arr[1] < arr[0] and
          arr[1] < arr[2]) : 
        for i in range(1, n - 1, 2) : 
  
            if (arr[i] < arr[i - 1] and 
                arr[i] < arr[i + 1]): 
                result = True
              
            else : 
                result = False
                break
  
        
        if (result == True and n % 2 == 0) : 
            if (arr[n - 1] >= arr[n - 2]) : 
                result = False
    return result",F,H,J,J,J,J,D,D,D,D,H,H
46,"Write a function <code>identitymatrix(k)</code> that accepts a positive integer k as an argument
<br><br>
The Function must return a list of lists representing the rows of a square identity matrix of the size <b><i>k * k</i></b>
<br><br>
<b>Example</b>
<br><br>
<pre>
Input

identitymatrix(3)

Output

[ [1, 0, 0], [0, 1, 0], [0, 0, 1] ]
</pre>
<br>
Note that the integer k will always be 2< k < 100
<br><br>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","def identitymatrix(size): 
    r='['
    for row in range(0, size):
        r+=' ['
        for col in range(0, size):
            if(col != size-1):
                if (row == col): 
                    #print(""1 "", end="" "")
                    r+='1, '
                else: 
                    #print(""0, "", end="" "")
                    r+='0, '
            else:
                if (row == col): 
                    #print(""1 "", end="" "")
                    r+='1'
                else: 
                    #print(""0, "", end="" "")
                    r+='0'
        if(row != size-1):
            r+='], '
        else:
            r+='] '
    r+=']'
    return r",B,C,C,N,B,J,B,J,J,C,B,B
47,"Write a function <code>is_palindrome(arg)</code> which will take one string argument.
<br>
Return True if the argument is palindrome & False otherwise.
 <br>
The function should be case sensitive.
<br><br>
For Example:<br><code>is_palindrome(""Hello"")</code> should return <code>False</code><br>","def is_palindrome(s):
    if len(s) < 1:
        return True
    else:
        if s[0] == s[-1]:
            return is_palindrome(s[1:-1])
        else:
            return False
a=str(input(""Enter stringstringstringstringstringstringstringstring:""))
if(is_palindrome(a)==True):
    print(""String is a palindrome!"")
else:
    print(""String isn't a palindrome!"")defdefdefdefdefdefdefdefdefdefdefdefdefdefdefdef",B,B,E,N,J,I,J,J,N,N,I,I
48,"It was vacation time and Alice and Bob were getting bored. <br>
Alice and Bob decide to play a game. Alice says any random Number X and bob have to say what will be its twin prime. If twin prime is not possible for the given number than bob must say NO. Twin primes are the numbers having a difference of 2. So help bob to win the game. <br>
Example <br>
Input 1:
<br>
3
<br>
Output 1:
<br>
5
<br>
Input 2
<br>
1232
<br>
Output
<br>
NO
<br>","def is_prime(num):
    if num > 1:
        for i in range(2,num):
            if (num % i) == 0:
                return False
            else:
                return True 
       
    else: return False 
    
myAliceNo =int(input())

BobNoLow = myAliceNo - 2
BobNoHigh = myAliceNo + 2

#if is_prime(myAliceNo):
if True :
    if is_prime( BobNoHigh):
        print (BobNoHigh)
    elif is_prime(BobNoLow):
        print (BobNoLow)
    else: 
        print ('NO')
else :
    print ('NO')",I,F,E,E,E,F,E,D,D,D,D,D
49,"Define a function called <code>vowel_counter(s)</code> which takes one string argument. Your function should count the number of vowels in the string that is passed as argument and return the total number of vowels in the string as an integer value. Note that it should consider both upper and lower case characters the same. It may or may not include blank spaces.
<br>
<br>
For Example <code>vowel_counter(""aeiou"")</code> should return <code>5</code>
For Example <code>vowel_counter(""UmbelloO"")</code> should return <code>4</code>
For Example <code>vowel_counter(""aaeeiioouu"")</code> should return <code>10</code>
For Example <code>vowel_counter(""abcdefghi"")</code> should return <code>3</code>
<br><br>
Note: You do not have to print anything, neither do you have to make the function call. Just define the function to perform the required operation & click on check answer. Also, note that the function name should exactly be as mentioned above.","def isVowel(ch): 
    if ch in ['a', 'e', 'i', 'o', 'u']: 
        return True
    else:  
        return False
  
# Function to return the count of adjacent 
# vowel pairs in the given string 
def vowel_counter(s, n): 
  
    cnt = 0
    for i in range(n - 1): 
  
        # If current character and the 
        # character after it are both vowels 
        if (isVowel(s[i]) and
            isVowel(s[i + 1])): 
            cnt += 1
  
    return cnt 
s = str(input())
n = len(s) 
print(vowel_counter(s, n))",J,J,J,J,I,I,I,J,J,J,D,I
50,"Write a function <code>leap_year(year)</code> which accepts a year as user input (Please do not add any prompt while taking input) and returns <code>year</code> if it is a leap year or else return  <code>next leap year</code><br><br>.
<i><b> Hint:</b>A year will be a leap year if it is divisible by 4 but not by 100. If a year is divisible by 4 and by 100, it is not a leap year unless it is also divisible by 400.</i>
<pre>leap_year(1996) returns 1996 </pre>
<pre>leap_year(2017) returns 2020 </pre>
<br>
<u>Important</u>:<b> You do not have to print anything, neither you have to make the function call. Just define the function to perform the required operation & click on check answer. Also, note that the function name should exactly be as mentioned above.</b>","def leap():
    x = input(""Enter a year"")
    if x % 4 == 0 and x % 400 == 0:
      return x 
    else:
      y = x + 1
      if y % 4 == 0 and y % 400 == 0 :
        return y
      elif:
        y =x+1
        if y % 4 == 0 and y % 400 == 0 :
          return y
      elif:
        y =x+1
        if y % 4 == 0 and y % 400 == 0 :
          return y
      else:
        y =x+1
        if y % 4 == 0 and y % 400 == 0 :
          return y
leap()        
        
        
        
        
        
        ",I,I,I,J,J,I,J,J,J,J,A,I
51,"Write a function <code>module_filename(module)</code> that takes a module as argument, and returns the name of the file in which the module is implemented. 
If the module is a builtin module, then it should return the string <code>""builtin""</code>.
If the passed object is not a module, it should raise <code>TypeError</code>.","def module_filename(module):
        import sys
        s = str(module).split(""'"")[1]
        if s in sys.builtin_module_names:
                return ""builtin""
        else:
                import os
                from fnmatch import fnmatch
                path1 = '/home'
                pattern = ""*.py""
                python_files = []
                for path2, subdirs, files in os.walk(path1):
                        for name in files:
                                if fnmatch(name, pattern):
                                        python_files.append(os.path.join(path2, name))
                for fil in python_files:
                        f = open(fil, 'r')
                        for line in f:
                                if module in line:
                                        return fil
                return TypeError",J,J,J,J,J,J,J,J,J,J,I,I
